"Cidade","Rede","Série","Disciplina","Matriculados na Série","Taxa de Participação (%)","Percentual Insuficiente (%)","Percentual Básico (%)","Percentual Proficiente (%)","Percentual Avançado (%)","Percentual Aprendizado Adequado (%)","Crescimento entre 2011 e 2013 (pp*)"
"Imaculada","Municipal","5º ano","Português","24","91.67","63.64","27.28","9.08","0","9.08","7"
"Ingá","Municipal","5º ano","Português","90","84.44","51.6","29.64","15.43","3.33","18.76","2.77"
"Itabaiana","Municipal","5º ano","Português","49","67.34999999999999","64.27","32.9","2.83","0","2.83","0.55"
"Itaporanga","Municipal","5º ano","Português","54","90.73999999999999","32.78","47.3","15.98","3.94","19.91","17.53"
"Itapororoca","Municipal","5º ano","Português","117","84.62","51.11","40.04","8.85","0","8.85","-6.43"
"Itatuba","Municipal","5º ano","Português","87","88.51000000000001","44.87","43.39","10.66","1.08","11.73","0.78"
"Jacaraú","Municipal","5º ano","Português","191","89.53","39.55","37.55","16.59","6.31","22.9","-4.17"
"Jericó","Municipal","5º ano","Português","23","65.22","66.67","33.33","0","0","0","0"
"João Pessoa","Municipal","5º ano","Português","4775","84.67","22.78","44.06","25.77","7.39","33.16","-2.26"
"Joca Claudino","Municipal","5º ano","Português","35","97.14","44.03","47.23","8.74","0","8.74","-2.41"
"Juarez Távora","Municipal","5º ano","Português","83","95.18000000000001","49.74","36.4","13.86","0","13.86","6.23"
"Juazeirinho","Municipal","5º ano","Português","133","90.23","40.8","42.37","15.37","1.46","16.83","-10.16"
"Junco Do Seridó","Municipal","5º ano","Português","62","95.16","42.44","35.69","20.26","1.61","21.88","8.94"
"Juripiranga","Municipal","5º ano","Português","145","95.86","30.09","54.24","14.39","1.28","15.67","-5.84"
"Juru","Municipal","5º ano","Português","80","97.5","19.18","44.81","27.07","8.94","36.01","12.95"
"Lagoa","Municipal","5º ano","Português","46","80.43000000000001","40.59","51.35","8.06","0","8.06","-8.58"
"Lagoa De Dentro","Municipal","5º ano","Português","74","78.38","34.29","47.8","17.91","0","17.91","0"
"Lagoa Seca","Municipal","5º ano","Português","279","89.95999999999999","27.39","43.53","23.73","5.35","29.08","7.56"
